Date,Store,Actual_Sales,Predicted_Sales,Set,Residual,Holiday_Flag
2010-02-26,1,1409727.59,,Train,,0
2010-03-05,1,1554806.68,,Train,,0
2010-03-12,1,1439541.59,,Train,,0
2010-03-19,1,1472515.79,,Train,,0
2010-03-26,1,1404429.92,,Train,,0
2010-04-02,1,1594968.28,,Train,,0
2010-04-09,1,1545418.53,,Train,,0
2010-04-16,1,1466058.28,,Train,,0
2010-04-23,1,1391256.12,,Train,,0
2010-04-30,1,1425100.71,,Train,,0
2010-05-07,1,1603955.12,,Train,,0
2010-05-14,1,1494251.5,,Train,,0
2010-05-21,1,1399662.07,,Train,,0
2010-05-28,1,1432069.95,,Train,,0
2010-06-04,1,1615524.71,,Train,,0
2010-06-11,1,1542561.09,,Train,,0
2010-06-18,1,1503284.06,,Train,,0
2010-06-25,1,1422711.6,,Train,,0
2010-07-02,1,1492418.14,,Train,,0
2010-07-09,1,1546074.18,,Train,,0
2010-07-16,1,1448938.92,,Train,,0
2010-07-23,1,1385065.2,,Train,,0
2010-07-30,1,1371986.6,,Train,,0
2010-08-06,1,1605491.78,,Train,,0
2010-08-13,1,1508237.76,,Train,,0
2010-08-20,1,1513080.49,,Train,,0
2010-08-27,1,1449142.92,,Train,,0
2010-09-03,1,1540163.53,,Train,,0
2010-09-10,1,1507460.69,,Train,,1
2010-09-17,1,1430378.67,,Train,,0
2010-09-24,1,1351791.03,,Train,,0
2010-10-01,1,1453329.5,,Train,,0
2010-10-08,1,1508239.93,,Train,,0
2010-10-15,1,1459409.1,,Train,,0
2010-10-22,1,1345454.0,,Train,,0
2010-10-29,1,1384209.22,,Train,,0
2010-11-05,1,1551659.28,,Train,,0
2010-11-12,1,1494479.49,,Train,,0
2010-11-19,1,1483784.18,,Train,,0
2010-11-26,1,1955624.11,,Train,,1
2010-12-03,1,1548033.78,,Train,,0
2010-12-10,1,1682614.26,,Train,,0
2010-12-17,1,1891034.93,,Train,,0
2010-12-24,1,2387950.2,,Train,,0
2010-12-31,1,1367320.01,,Train,,1
2011-01-07,1,1444732.28,,Train,,0
2011-01-14,1,1391013.96,,Train,,0
2011-01-21,1,1327405.42,,Train,,0
2011-01-28,1,1316899.31,,Train,,0
2011-02-04,1,1606629.58,,Train,,0
2011-02-11,1,1649614.93,,Train,,1
2011-02-18,1,1686842.78,,Train,,0
2011-02-25,1,1456800.28,,Train,,0
2011-03-04,1,1636263.41,,Train,,0
2011-03-11,1,1553191.63,,Train,,0
2011-03-18,1,1576818.06,,Train,,0
2011-03-25,1,1541102.38,,Train,,0
2011-04-01,1,1495064.75,,Train,,0
2011-04-08,1,1614259.35,,Train,,0
2011-04-15,1,1559889.0,,Train,,0
2011-04-22,1,1564819.81,,Train,,0
2011-04-29,1,1455090.69,,Train,,0
2011-05-06,1,1629391.28,,Train,,0
2011-05-13,1,1604775.58,,Train,,0
2011-05-20,1,1428218.27,,Train,,0
2011-05-27,1,1466046.67,,Train,,0
2011-06-03,1,1635078.41,,Train,,0
2011-06-10,1,1588948.32,,Train,,0
2011-06-17,1,1532114.86,,Train,,0
2011-06-24,1,1438830.15,,Train,,0
2011-07-01,1,1488538.09,,Train,,0
2011-07-08,1,1534849.64,,Train,,0
2011-07-15,1,1455119.97,,Train,,0
2011-07-22,1,1396926.82,,Train,,0
2011-07-29,1,1352219.79,,Train,,0
2011-08-05,1,1624383.75,,Train,,0
2011-08-12,1,1525147.09,,Train,,0
2011-08-19,1,1530761.43,,Train,,0
2011-08-26,1,1464693.46,,Train,,0
2011-09-02,1,1550229.22,,Train,,0
2011-09-09,1,1540471.24,,Train,,1
2011-09-16,1,1514259.78,,Train,,0
2011-09-23,1,1380020.27,,Train,,0
2011-09-30,1,1394561.83,,Train,,0
2011-10-07,1,1630989.95,,Train,,0
2011-10-14,1,1493525.93,,Train,,0
2011-10-21,1,1502562.78,,Train,,0
2011-10-28,1,1445249.09,,Train,,0
2011-11-04,1,1697229.58,,Train,,0
2011-11-11,1,1594938.89,,Train,,0
2011-11-18,1,1539483.7,,Train,,0
2011-11-25,1,2033320.66,,Train,,1
2011-12-02,1,1584083.95,,Train,,0
2011-12-09,1,1799682.38,,Train,,0
2011-12-16,1,1881176.67,,Train,,0
2011-12-23,1,2270188.99,,Train,,0
2011-12-30,1,1497462.72,,Train,,1
2012-01-06,1,1550369.92,,Train,,0
2012-01-13,1,1459601.17,,Train,,0
2012-01-20,1,1394393.84,,Train,,0
2012-01-27,1,1319325.59,,Train,,0
2012-02-03,1,1636339.65,,Train,,0
2012-02-10,1,1802477.43,,Train,,1
2012-02-17,1,1819870.0,,Train,,0
2012-02-24,1,1539387.83,,Train,,0
2012-03-02,1,1688420.76,,Train,,0
2012-03-09,1,1675431.16,,Train,,0
2012-03-16,1,1677472.78,,Train,,0
2012-03-23,1,1511068.07,,Train,,0
2012-03-30,1,1649604.63,,Train,,0
2012-04-06,1,1899676.88,,Train,,0
2012-04-13,1,1621031.7,,Train,,0
2012-04-20,1,1521577.87,,Train,,0
2012-04-27,1,1468928.37,,Train,,0
2012-05-04,1,1684519.99,,Train,,0
2012-05-11,1,1611096.05,,Train,,0
2012-05-18,1,1595901.87,,Train,,0
2012-05-25,1,1555444.55,,Train,,0
2012-06-01,1,1624477.58,,Train,,0
2012-06-08,1,1697230.96,,Train,,0
2012-06-15,1,1630607.0,,Train,,0
2012-06-22,1,1527845.81,,Train,,0
2012-06-29,1,1540421.49,,Train,,0
2012-07-06,1,1769854.16,,Train,,0
2012-07-13,1,1527014.04,,Train,,0
2012-07-20,1,1497954.76,,Train,,0
2012-07-27,1,1439123.71,,Train,,0
2012-08-03,1,1631135.79,,Train,,0
2012-08-10,1,1592409.97,,Train,,0
2012-08-17,1,1597868.05,,Train,,0
2012-08-24,1,1494122.38,,Train,,0
2012-08-31,1,1582083.4,,Train,,0
2012-09-07,1,1661767.33,,Train,,1
2012-09-14,1,1517428.87,,Train,,0
2012-09-21,1,1506126.06,,Train,,0
2012-09-28,1,1437059.26,,Train,,0
2012-10-05,1,1670785.97,,Train,,0
